	SYMBOL	FDR	FC	avg.CDK4_inhib	avg.Untreated	NAME
KfRRRAl0JOTN61dQVU	NA	0.9482709463234	-1.03	90.97	93.32	NA
lN97qVfVIRaNTqRwVk	FAM73B	0.9482709463234	-1.03	96.58	99.05	family with sequence similarity 73, member B
ZniMVDQiUNfn1ch3XQ	PGBD4	0.948287361428803	-1.02	74.2	75.99	piggyBac transposable element derived 4
ilDChXubfdVdcJX7tc	IRX6	0.948370808693193	-1.02	90.49	92.48	iroquois homeobox 6
TNBCuu46deRKVhMo4o	FAHD2B	0.948424970119071	1.02	204.17	199.73	fumarylacetoacetate hydrolase domain containing 2B
6EUkJBwoj0o5J6hCSo	LINS1	0.948424970119071	1.03	110.86	107.74	lines homolog 1
Ni.giLdSeC9qS0iDig	NA	0.948441308648259	-1.03	99.64	102.25	NA
Zwaj.TpllUVk80e7jo	STRN4	0.948514877697379	-1.02	127.77	130.5	striatin, calmodulin binding protein 4
NQuu0ktA8Sk5._4Th0	NA	0.948516144343449	1.02	73.23	71.63	NA
fk.heU3J.54Gdf7Xeo	NA	0.948668811376631	1.02	72.17	70.5	NA
EXUux4qx6XJTug9XFc	PI4KB	0.948668811376631	1.02	262.52	256.34	phosphatidylinositol 4-kinase, catalytic, beta
cJ4k60959WOEEaF2W4	SERPINB8	0.948841066638694	-1.03	139.95	144.15	serpin peptidase inhibitor, clade B (ovalbumin), member 8
ZsgSnelRUzeiSzxhWI	MAPK1	0.948924932833251	-1.03	148.07	152.2	mitogen-activated protein kinase 1
H3lUpXHFT71fXfXlfg	PLD2	0.948924932833251	-1.02	97.89	100.13	phospholipase D2
uUJydZFB1ftNB9Y44o	SEC24B	0.948924932833251	1.02	90.24	88.14	SEC24 homolog B, COPII coat complex component
ZqAoJKkuurt4BdIBME	ADH5	0.948924932833251	-1.03	146.12	149.79	alcohol dehydrogenase 5 (class III), chi polypeptide
xVyWVdVUnLi5mBiAoo	HNRNPK	0.948924932833251	1.02	97.26	95.23	heterogeneous nuclear ribonucleoprotein K
EUk3_443orP55056WQ	CENPT	0.949298499994877	1.02	291.82	285.33	centromere protein T
rpXw5xKEJAXSXopH.U	NAAA	0.949314670030337	-1.02	105.89	108.46	N-acylethanolamine acid amidase
oYTSKGTEoiAVxS7Dg4	ZNF883	0.94938935145831	1.02	84.65	82.9	zinc finger protein 883
lVXVUobEAjfM8FDXe4	NA	0.94938935145831	-1.02	140.43	143.78	NA
u30hunSgOliLCuDRCk	NA	0.94938935145831	1.03	94.6	92.28	NA
60dCSemkioKp4MBl6I	DPP7	0.94938935145831	-1.03	119.54	122.79	dipeptidyl-peptidase 7
3nBcXkKIne4_k1U054	NA	0.94938935145831	1.02	546.64	534.36	NA
6n2UX2I325F56V7670	NA	0.94938935145831	-1.02	130.35	133.25	NA
93RPVQ6c6CtzXRLleo	OSBPL9	0.94938935145831	1.02	110.2	107.73	oxysterol binding protein-like 9
u0e25H6ebp69z6Vyuc	FBXO10	0.94938935145831	-1.02	96.85	99.01	F-box protein 10
ZdXdeoXX5dK6u9AB7k	ZNF446	0.94938935145831	-1.02	106.92	109.08	zinc finger protein 446
Nibjj6u9MZ_7iO5RX4	SNORD13	0.94938935145831	-1.03	110.6	114.02	small nucleolar RNA, C/D box 13
NuEU.VOBFXqK05dJ3k	NA	0.94938935145831	-1.02	257.99	263.57	NA
lT3v4CXUlKqEhldVKI	NA	0.94938935145831	-1.02	87.92	89.85	NA
6ny9H0Pe.LS66ifILo	NA	0.94938935145831	1.02	92.51	90.32	NA
ZJXg9V5xFRSQe0AtUk	DENND1C	0.94938935145831	-1.02	87.83	89.86	DENN/MADD domain containing 1C
o4lEHnoRESIooLdVZQ	ZNF408	0.94938935145831	-1.02	114.35	116.94	zinc finger protein 408
KSdx9et1_uFehBdNek	OR1D4	0.94938935145831	-1.02	81.76	83.46	olfactory receptor, family 1, subfamily D, member 4 (gene/pseudogene)
BMozoilXp9OIECkpUo	SEC22B	0.94938935145831	1.02	407.14	398.14	SEC22 homolog B, vesicle trafficking protein (gene/pseudogene)
EbqUp7uI76O.rHtTt4	ANGPTL2	0.94938935145831	-1.04	343.94	356.53	angiopoietin-like 2
3_19QJK4tJVFiJSkn8	AKAP10	0.949419015642993	1.02	93.94	92.04	A kinase (PRKA) anchor protein 10
ouU0YUU0Ndn9CKSEtU	ITGB7	0.949419015642993	-1.02	112.36	114.84	integrin, beta 7
Bbrp_pP8ThMgpNZzgU	OSGEPL1	0.949440833688908	-1.02	99.46	101.71	O-sialoglycoprotein endopeptidase-like 1
cfNEUKURe93pdEBS4o	NA	0.949440833688908	-1.02	107.48	110.05	NA
EmeuM3k0X0eReiFENc	NA	0.94950030811336	-1.02	85.45	87.32	NA
WrPqb14RAeKXXJCHpI	HIST1H2AG	0.94950030811336	-1.02	96.76	98.79	histone cluster 1, H2ag
ZHFx6od50cXq4SjTW4	NA	0.94950030811336	1.02	153.5	150.03	NA
Q0EDGDuSa56rTjp2uo	BID	0.94950030811336	1.02	84.37	82.53	BH3 interacting domain death agonist
u_wiEaq51qVJNCX9KM	NA	0.94950030811336	1.03	80.2	78.05	NA
Q3wUnion7EEXzs56_o	CLHC1	0.949663400193702	-1.03	69.32	71.26	clathrin heavy chain linker domain containing 1
rhUhIIDefVxTpz1JFU	OCRL	0.949824755577658	1.02	266.52	260.05	oculocerebrorenal syndrome of Lowe
ETpEhFdLTTXTShLSV4	SLCO3A1	0.949824755577658	-1.02	79.63	81.41	solute carrier organic anion transporter family, member 3A1
QoNn4FqikivkuJSNuQ	CRCP	0.949824755577658	1.03	485.55	473.06	CGRP receptor component
o3lddCVUgVNAtNVUvc	CCDC63	0.949824755577658	1.03	77.84	75.83	coiled-coil domain containing 63
xoPmkYIOUIvxelJXp8	ATG10	0.949824755577658	-1.02	94.61	96.62	autophagy related 10
6WA9RFFy.pCA15VK7k	ZC2HC1A	0.949824755577658	1.02	166.68	163.1	zinc finger, C2HC-type containing 1A
TEn_ceYDfp9HlNVdTo	DDX47	0.949824755577658	-1.03	321.77	330.42	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47
rDB7qAlehNlZSlYhOc	GCDH	0.949824755577658	1.02	112.98	110.41	glutaryl-CoA dehydrogenase
Kngj91PXrniDApBSyU	PHLDB2	0.949884359939973	1.03	115.51	112.66	pleckstrin homology-like domain, family B, member 2
WX6iIqssHoKARiip94	NA	0.950247077304344	-1.02	78.82	80.66	NA
9SqSh4tV1KCCSqoNz8	NA	0.950316548416053	1.03	70.15	67.93	NA
ZEO1Ja53H16RGKEF18	TAS1R2	0.950316548416053	1.02	89.48	87.31	taste receptor, type 1, member 2
xdfrj1kuIi6eqToKQg	F12	0.950316548416053	1.02	103.02	100.56	coagulation factor XII (Hageman factor)
lYsnmdV5yBdQEJ3QrU	RN7SK	0.950316548416053	1.02	120.19	117.44	RNA, 7SK small nuclear
9meCvVuUijAzHlSujk	ATP5H	0.950316548416053	1.02	2764.89	2712.03	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d
WnnRzFdeTnyDDn_Kok	BTF3L4	0.950316548416053	-1.02	229.52	235.07	basic transcription factor 3-like 4
fBJkV5lSqeW1ap1dpo	ROR1	0.950316548416053	-1.03	86.21	88.44	receptor tyrosine kinase-like orphan receptor 1
Tkm0dxcO3R73kCukOc	SMAD4	0.950345204818037	-1.02	369.53	377.48	SMAD family member 4
BQkv9UU1PE1Kqj9faQ	TANK	0.950345204818037	1.02	243.51	238.53	TRAF family member-associated NFKB activator
0K7_5JS31xRzq7r56g	UBA5	0.950422272861328	-1.02	242.14	247.26	ubiquitin-like modifier activating enzyme 5
0Ju3s.O7iieen5Lmbk	BCL2L1	0.950422272861328	-1.02	985.29	1009.89	BCL2-like 1
xxdKhSDW6gqOheu9W8	FAM118A	0.950422272861328	-1.03	82.19	84.42	family with sequence similarity 118, member A
xuNOUeR1JerhIuIV7c	CLUAP1	0.950422272861328	1.03	7387.38	7176.52	clusterin associated protein 1
xV17iLeCjHPlIneX3o	NA	0.950422272861328	-1.03	1422.37	1459.71	NA
N5C0qk.1_Ffh45zmiE	NFIA	0.950422272861328	-1.02	80.34	82.29	nuclear factor I/A
xEeALYpQKDqdSEl11o	ILF3-AS1	0.950422272861328	-1.02	117.42	120.2	ILF3 antisense RNA 1 (head to head)
BlyUvclXtd8jM1V.eo	PRKAG1	0.950422272861328	1.03	181.25	176.37	protein kinase, AMP-activated, gamma 1 non-catalytic subunit
cqW9.cK7azuqLrEA60	AKAP17A	0.950422272861328	-1.02	314.13	320.96	A kinase (PRKA) anchor protein 17A
3UkRJe6.6Neixe3rF4	NA	0.950422272861328	-1.03	89.59	91.85	NA
rinir.nlH.Xu.UfefU	TMEM39A	0.950422272861328	-1.02	122.4	125.3	transmembrane protein 39A
N3eSRj93.jDlfypEHI	ZFAND6	0.950422272861328	1.02	136.25	133.57	zinc finger, AN1-type domain 6
3qnp0K8RLi7qpIpqVE	NA	0.950422272861328	-1.02	73.89	75.72	NA
B.fZp50I4Fh32oCYBU	CHMP5	0.950422272861328	1.02	343.32	335.29	charged multivesicular body protein 5
ZXo_C5IP6TNjk5DoCA	NT5DC1	0.950422272861328	-1.02	108.8	111.38	5'-nucleotidase domain containing 1
TrhKB9ZF14pXo49w_8	REPIN1	0.950422272861328	1.02	333.89	326.84	replication initiator 1
f64T_U9I._V7pU75II	PIGC	0.950422272861328	-1.03	84.64	86.77	phosphatidylinositol glycan anchor biosynthesis, class C
QHF6f11kJo4EUlfUik	NA	0.950422272861328	1.02	6268.58	6138.91	NA
HiCg3odVNVUUowC14U	C19orf66	0.950422272861328	-1.02	75.69	77.31	chromosome 19 open reading frame 66
fIlLXtp6lfoae0v_RM	CCM2	0.950422272861328	-1.02	849.82	870.35	cerebral cavernous malformation 2
Q0s0Qd54iR5Je674p0	SUPT3H	0.950422272861328	-1.03	107.96	110.73	SPT3 homolog, SAGA and STAGA complex component
EquNJ1BS6SSLrp31y8	MAP1LC3C	0.950422272861328	-1.02	76.8	78.37	microtubule-associated protein 1 light chain 3 gamma
667aVdEDklC07Dy03o	NA	0.950422272861328	-1.02	1278.38	1304.62	NA
caS6XnqkOk3tGu.3Uk	NSFL1C	0.950422272861328	-1.02	301.78	309.13	NSFL1 (p97) cofactor (p47)
Kjk.igGXWHE5dURCa0	VENTXP7	0.950422272861328	1.02	77.63	75.86	VENT homeobox pseudogene 7
ciiQyV6lEJurKX9Gz0	WDR7	0.950422272861328	-1.02	136.95	140.27	WD repeat domain 7
uXCQFQOhQOQZ46DcLk	NA	0.950422272861328	-1.02	90.38	92.22	NA
HhIZKavz.oqsfuk.14	ADPRHL2	0.950422272861328	-1.02	250.71	256.17	ADP-ribosylhydrolase like 2
Nk5D7voLtfrZfu47IQ	EGR2	0.950422272861328	1.03	98.24	95.6	early growth response 2
fhXoo5eEKozeETj6J0	FAM24B	0.950422272861328	-1.02	108.08	110.51	family with sequence similarity 24, member B
ikbItFWQJEhwFTHEiE	NA	0.950422272861328	-1.02	81.06	82.61	NA
cnKK1ekvl55Uu4UgKQ	DGCR6	0.950422272861328	-1.03	118.95	121.98	DiGeorge syndrome critical region gene 6
cnLRQfercFUlAjhJIE	UBR5	0.950422272861328	-1.03	168.11	172.37	ubiquitin protein ligase E3 component n-recognin 5
6e3UuMeLLdPSKdXC6o	NA	0.950422272861328	1.02	130.66	128.05	NA
xa8KoVExS5Qqo7QuuM	CTDSP1	0.950422272861328	1.02	296.66	290.07	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1
KE6r16_9eTVjF0lelc	GPA33	0.950422272861328	1.02	90.66	88.47	glycoprotein A33 (transmembrane)
HV7dRQAxAA3lqbrpEY	MBTD1	0.950422272861328	-1.02	115.78	118.11	mbt domain containing 1
Kgh2qESoREKgOY7hzo	NA	0.950422272861328	-1.03	76.56	78.56	NA
BpEvXh6mgj198TRIXk	DESI1	0.950422272861328	1.02	449.92	439.67	desumoylating isopeptidase 1
K9P6iQoger3T30lDic	NA	0.950422272861328	1.02	82.26	80.3	NA
6oc58FT1SfMAlU6SeQ	NA	0.950422272861328	1.02	101.1	98.68	NA
leTr73_p_UR4eikV7o	NA	0.950422272861328	1.02	86.4	84.59	NA
xT3qHFuCXosqImL_ok	ARAP3	0.950422272861328	1.02	187.32	183.55	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3
r9fkV0WTOgdem27VK0	CYB561	0.950422272861328	-1.03	80.94	83.2	cytochrome b561
WSBKLXfef8fXlSF5Wo	NA	0.950481702312897	1.02	85.22	83.42	NA
ZnvVZDjg6k6.p4Efkg	NA	0.950504724567064	-1.02	415.35	424.94	NA
Zi4cIc2yKL66OkK_3Y	KRT24	0.950504724567064	1.02	89.11	87.26	keratin 24, type I
ZirTd9z7F5JGfXqe8Q	ALG13	0.950504724567064	-1.02	487.86	498.47	ALG13, UDP-N-acetylglucosaminyltransferase subunit
NpQtUVN7qwQqrvrvf8	FAM86C2P	0.950618739404088	-1.02	92.22	94.35	family with sequence similarity 86, member A pseudogene
ThXoftPP7eqpHq4J4I	GMPPB	0.950618739404088	1.02	125.1	122.26	GDP-mannose pyrophosphorylase B
K0ko.7J4eud4qIuXJI	THNSL1	0.950618739404088	1.03	112.4	109.38	threonine synthase-like 1
KKiLpnnvvqE6U3IWkk	NA	0.950618739404088	1.02	371.95	363.35	NA
TqTaSeBXnW_tJvHNN0	DFFB	0.950795039760589	1.03	101.17	98.63	DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)
Bxwh2Xd2qB2tntfFF0	NA	0.950799471067459	-1.02	79.11	80.84	NA
BVPXVNe3RehdLAqdU0	NA	0.950799471067459	-1.02	88.01	89.71	NA
6kezvjr0AuLBEP3l9U	NA	0.950979515888433	1.02	78.3	76.52	NA
EuVBB.H5cQa9EB6BKU	PNPT1	0.951089725729901	-1.02	119.34	121.74	polyribonucleotide nucleotidyltransferase 1
6e_73P1Hbel5dP.cpU	NAPEPLD	0.951089725729901	-1.02	85.8	87.63	N-acyl phosphatidylethanolamine phospholipase D
QZNzuleozr.9ei_Eek	UXT	0.951089725729901	-1.02	1723.43	1761.12	ubiquitously-expressed, prefoldin-like chaperone
uJdPSKuSnCZOhiSaug	GPSM1	0.951089725729901	-1.02	93.34	95.3	G-protein signaling modulator 1
WdeNX9U2jeBHrfrrbA	SNORA61	0.951089725729901	1.02	420.19	409.95	small nucleolar RNA, H/ACA box 61
0hRBOKUeiGTOLCpHho	BID	0.951089725729901	1.03	162.53	158.48	BH3 interacting domain death agonist
o3kq6E6Oz2.eNOIIp0	CAPS2	0.951089725729901	-1.02	125.22	127.72	calcyphosine 2
uqErQ72dFfSl0nkI0k	POLR3H	0.951179163383013	1.02	199.82	195.73	polymerase (RNA) III (DNA directed) polypeptide H (22.9kD)
c.6QyLfnZUq6Lkuu40	ATAD3C	0.951473491762861	1.02	81.27	79.35	ATPase family, AAA domain containing 3C
ZVhk6FYimGEYuDAuRM	ARHGAP39	0.951473491762861	1.03	157.89	153.44	Rho GTPase activating protein 39
9pXzsVlMSMYJQonk4Y	ANXA8	0.951637165475308	-1.03	80.47	83.05	annexin A8
KeU1Sl8HJAHGiblC4U	FUK	0.951637165475308	-1.02	85.59	87.55	fucokinase
0qd7bveQ31U9V043ek	MKLN1	0.951651372068359	-1.02	276.98	283.4	muskelin 1, intracellular mediator containing kelch motifs
0VT9Ov9LpB8eFfv.l4	SNTB1	0.951651372068359	1.04	144.19	138.72	syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)
QQezsRP7QD3D7PMRBM	NA	0.951651372068359	-1.02	97.1	99	NA
BTijB9flXneyUXX6RY	LDLRAP1	0.951709579744274	-1.03	75.87	77.8	low density lipoprotein receptor adaptor protein 1
cI_lUv1UiygikoJSJE	NA	0.951709579744274	-1.02	91.91	93.77	NA
ffegotKD9S96l6nurc	SNHG15	0.951718283309845	1.03	270.87	263.9	small nucleolar RNA host gene 15
lNfX6d.8n7ppLqS1uk	MAPK13	0.951718283309845	1.02	88.62	86.78	mitogen-activated protein kinase 13
xlzirSI0gnq3NJ2ej0	CDH18	0.951718283309845	-1.02	98.8	100.92	cadherin 18, type 2
f6qgkTDVlUqVHJNR48	ALOX15B	0.951749147663266	-1.03	79.15	81.15	arachidonate 15-lipoxygenase, type B
iK4OXu11Un05d7TqoI	ATXN10	0.951888774324892	1.02	146.15	142.75	ataxin 10
0XfIX6Gl009TW_Th7o	SPAG9	0.951888774324892	-1.02	144.77	147.7	sperm associated antigen 9
f9ZDpdek2pNqtN19OQ	TMEM160	0.952035213683709	1.02	214.94	210.32	transmembrane protein 160
N65ZLh46gYyqgbfEHY	NA	0.95207389367581	-1.02	74.54	75.99	NA
BkiUXXMhlT5XnnsR9I	PRELID3B	0.952094492685183	1.02	341.16	334.59	PRELI domain containing 3B
x31VSfTe13iwsnUoIk	NA	0.952094492685183	1.02	98.7	96.71	NA
BheFnLKivz0jZ6SXac	MTOR	0.952094492685183	1.02	365.19	357.76	mechanistic target of rapamycin (serine/threonine kinase)
l750SV5teeZSpWZRZQ	EMC10	0.952100787486134	-1.02	88.04	89.71	ER membrane protein complex subunit 10
ECXF7oKAv3fUDAl8g8	NA	0.952142181799657	-1.05	46.61	49.13	NA
9is.Auf4hePTlVQKus	N4BP2	0.952142181799657	-1.02	80.28	82.26	NEDD4 binding protein 2
Ki3QtbOwNI3Vd0VdUU	SPI1	0.952148970356649	-1.02	79.81	81.7	Spi-1 proto-oncogene
iX4xUf.uDFxVfelGuU	TINF2	0.952148970356649	1.02	204.51	200.42	TERF1 (TRF1)-interacting nuclear factor 2
oeaOeSC7oU6ahVChH4	SNAP47	0.952215172602831	-1.02	127.89	130.72	synaptosomal-associated protein, 47kDa
EdUXR3VHsVFXA09S50	CXCL17	0.9522668457994	-1.02	85.29	87.06	chemokine (C-X-C motif) ligand 17
Q2I46IekJu6kKx5OXU	EXOSC7	0.9523012197293	-1.02	199.49	203.29	exosome component 7
0Vb3Klul.liHskiAGw	HES4	0.952512976266221	1.04	116.4	112.26	hes family bHLH transcription factor 4
3pxRNAV6J_EzMBedf0	FAM26D	0.9525175666175	1.02	90.49	88.68	family with sequence similarity 26, member D
Z_SKQiU0kTXnlri.do	NA	0.9525175666175	-1.02	78.04	79.87	NA
Wledv3LapE3RHU.iKE	ECT2L	0.9525175666175	-1.02	82.62	84.28	epithelial cell transforming 2 like
uYd0KR7s5XkL6e3OJM	TMCO1	0.9525175666175	-1.02	1284.77	1314.19	transmembrane and coiled-coil domains 1
B.oKkK5ijn4pSi.hEk	ASL	0.9525175666175	-1.02	87.57	89.43	argininosuccinate lyase
BdYEhS4pIkkAkl6B6I	AREL1	0.9525175666175	-1.02	89.63	91.45	apoptosis resistant E3 ubiquitin protein ligase 1
Bk6eL10K0KmIIul87U	PRPF31	0.9525175666175	1.02	465.71	455.88	pre-mRNA processing factor 31
6eoMJ4q54Hvqgq4eyU	LPGAT1	0.952552160536976	-1.02	137.94	140.79	lysophosphatidylglycerol acyltransferase 1
6RMlLXB1sd7tJU1XIQ	WNT7B	0.95271130446359	-1.02	116.36	118.52	wingless-type MMTV integration site family, member 7B
fRcFGH8TEqHkj1IFV4	NA	0.952740292831617	1.02	80.42	78.87	NA
Q4kSK70wDqD4tUdrCI	IDI1	0.952740292831617	1.02	181.68	178.21	isopentenyl-diphosphate delta isomerase 1
0hEailPubl0ZeVO1NM	CPNE7	0.952793301672838	1.03	92.55	90.24	copine VII
EdSIEmUX00kEQU9KLo	NA	0.952793301672838	-1.02	72.81	74.39	NA
3jtH4VT87sokcRT6.U	SNX3	0.952793301672838	-1.02	3101.8	3166.42	sorting nexin 3
xP5AZxP5LTuFx_E._s	NA	0.952843515271319	1.02	153.11	149.81	NA
KjWSirr6jEWjF3ndPk	AKAP13	0.952852732597172	-1.03	115.24	118.13	A kinase (PRKA) anchor protein 13
HJ6SOsGp7pLPSiantc	MTMR14	0.95288482511606	-1.02	91.11	93.06	myotubularin related protein 14
QpPFWhSSKdN.ktCSug	NA	0.952910249318671	-1.02	1132.27	1157.83	NA
ESqMS70611IKpIDpJU	CIDEC	0.952910249318671	-1.02	82.64	84.24	cell death-inducing DFFA-like effector c
utcRniQSkgM_U2eL5I	NA	0.952956346509157	-1.02	81.71	83.42	NA
9S6d.6XfHKqjLfv3J8	WDR44	0.952956346509157	1.02	135.9	132.94	WD repeat domain 44
xoAaJOuvu7r4fXq16g	NA	0.952956346509157	1.02	89.38	87.23	NA
uXSUp5Rdkjo.SHvuck	NA	0.952956346509157	1.02	91.92	89.96	NA
0lAIiLq.qCLirr6oio	NA	0.952956346509157	1.02	79.93	78.17	NA
xEu7FPWE8Qa6L6Su5k	RPL17P39	0.952956346509157	1.02	6614.97	6490.73	ribosomal protein L17 pseudogene 39
H_qJIAZSt9Crt5RRTk	FLCN	0.952956346509157	-1.03	77.68	79.8	folliculin
iVDqdAfcKrHXdNV818	CYP19A1	0.952956346509157	-1.02	75.66	77.44	cytochrome P450, family 19, subfamily A, polypeptide 1
TKebVfQIGUWeIHhXRM	NA	0.952956346509157	-1.02	85.07	86.85	NA
ZSkuicEny0UoVUheQE	NA	0.952956346509157	1.02	140.15	136.8	NA
xVkl.VQiRUESQgJUeA	ALG3	0.952956346509157	1.02	428.69	420.03	ALG3, alpha-1,3- mannosyltransferase
Hetbq.FFkknuTt9F1M	SLC26A5	0.95298765051111	-1.02	87.18	89.34	solute carrier family 26 (anion exchanger), member 5
fUpHTp93p69H3V6dIQ	PARVB	0.95298765051111	-1.02	99.94	102.19	parvin, beta
WUo5dE.1e.vLrcViLU	NA	0.95298765051111	-1.03	86.17	88.57	NA
9cqTXMTXFEgpQqEiRQ	NA	0.95298765051111	1.03	227.39	221.78	NA
HX_Td8DvqrqrSJS81o	LARP4	0.95298765051111	1.02	109.18	106.63	La ribonucleoprotein domain family, member 4
Tre_tTul6.XJFTwEw4	C11orf58	0.95298765051111	-1.02	211.4	215.41	chromosome 11 open reading frame 58
6V6uKf4nh.IjR7qtCA	HPCAL4	0.95298765051111	1.02	75.94	74.36	hippocalcin like 4
uU0ldKRL6lCSAiIBH0	NA	0.95298765051111	-1.02	145.69	148.67	NA
6J2SRKqJ6FJ4KJP5oA	RFXANK	0.95298765051111	-1.02	99.88	101.8	regulatory factor X-associated ankyrin-containing protein
TIGX_MSntT5Sgin7ls	ANKRD20A1	0.95298765051111	1.02	91.53	89.77	ankyrin repeat domain 20 family, member A1
rNIeV5ApXx4_COkUEo	NA	0.952990463378041	1.02	72.87	71.29	NA
ZTllQEUVI7R8bQgrWg	SLC4A2	0.9530356736862	1.02	208.35	203.69	solute carrier family 4 (anion exchanger), member 2
cvtIr95JeXUe4Ah.kk	TRIM23	0.9530356736862	-1.02	82.4	84.13	tripartite motif containing 23
3FrTlTWg7cwgogJ2Lg	NA	0.953177396332523	-1.02	126.59	129.52	NA
uI7kFzmVXlcfW8V4i0	MARK3	0.953306230678648	1.02	134.25	131.48	MAP/microtubule affinity-regulating kinase 3
fOnRqXpmeOdC5uutpg	NA	0.953306230678648	-1.03	74.92	76.83	NA
xqAJQnUhCi57yVCqCI	LDAH	0.953306230678648	-1.02	110.4	112.75	lipid droplet associated hydrolase
Tr8somskKUHopNMhOk	VPS13A	0.953306230678648	1.02	102.08	99.64	vacuolar protein sorting 13 homolog A (S. cerevisiae)
WfUky4E96tCJL06S7E	PARL	0.953306230678648	1.02	318.54	311.91	presenilin associated, rhomboid-like
W4pIkIavdFXh96KfV8	NARFL	0.953306230678648	-1.02	114.17	116.76	nuclear prelamin A recognition factor-like
Hekkk3HjqAu6N_g3SI	AASDH	0.953306230678648	-1.02	74.61	76.43	aminoadipate-semialdehyde dehydrogenase
0k7uZulu3uz9xu7Z30	UBALD1	0.953306230678648	1.02	340.9	333.47	UBA-like domain containing 1
Q4qALJ1J0FN4oKFJCg	NA	0.953378020838741	-1.02	165.9	169.19	NA
xqioggoCKQsilQSSBU	SNRNP35	0.953378020838741	1.02	102.48	100.56	small nuclear ribonucleoprotein 35kDa (U11/U12)
x3lPl3t9fqkXSd6OcU	CCNT1	0.953378020838741	-1.02	253.22	258.71	cyclin T1
lAZSt5e9_epDp46eUs	ABR	0.953378020838741	-1.02	375.56	382.99	active BCR-related
EeFAk7.CeQ5LLRq6wU	SLC33A1	0.953454410668608	1.02	178.41	174.96	solute carrier family 33 (acetyl-CoA transporter), member 1
EqSTVeT3v9UUp4QAUU	NA	0.953454410668608	-1.02	83.69	85.68	NA
rcXn6Xql3oLee4P7PU	ALG8	0.953464392446023	-1.02	431.49	441.11	ALG8, alpha-1,3-glucosyltransferase
ud3s4QdxIL7mbn90kk	AGA	0.953477992641129	-1.03	109.94	112.93	aspartylglucosaminidase
x03iJim6SbqrpbkMDM	NA	0.953477992641129	1.02	73.21	71.53	NA
HVpqp3XpC0oK.e_cMw	ADCY7	0.953597371576848	-1.02	91.33	93.29	adenylate cyclase 7
KhddIieiRIgEYoUlXA	NA	0.953597371576848	-1.02	81.04	82.96	NA
l1eFFdXdNCn1eHF6Xc	NA	0.953597371576848	-1.02	88.09	90.02	NA
QeMiEiOCegoIcuAPiU	NA	0.95367307930119	-1.03	83.5	85.63	NA
iPeg3xK39KqB03lV7k	NA	0.953792161148803	1.02	89.56	87.7	NA
li3FhfvpC3jF761E00	PARPBP	0.953792161148803	-1.02	87.8	89.64	PARP1 binding protein
QkulugqP6JPAKDeXuo	NA	0.953792161148803	-1.02	77.93	79.52	NA
oJdSDCiMCkleKAveqI	OR11H1	0.953808019121639	1.02	115.22	112.71	olfactory receptor, family 11, subfamily H, member 1
rohSET2Rn3eoXp8U0k	NA	0.953808019121639	1.02	95.06	93.07	NA
xbqAkmi.z3KoKAQKaU	NA	0.953817005685148	1.02	83.37	81.66	NA
cqX56cervL_S17ufV0	NEDD8	0.953844205326052	-1.02	2675.46	2726	neural precursor cell expressed, developmentally down-regulated 8
B2Kk1pISLEV4St0L_E	FSD1	0.953917137953784	1.02	110.21	107.84	fibronectin type III and SPRY domain containing 1
cIa4kUZ5FGX16R04LE	CYP2F1	0.953917137953784	-1.02	75	76.52	cytochrome P450, family 2, subfamily F, polypeptide 1
Km6KSt8XNk7ooo49.k	NA	0.953927590484106	1.02	79.51	77.69	NA
6qXfVfFaV8j9OiSUfI	TYW1	0.953927590484106	-1.02	135.88	138.8	tRNA-yW synthesizing protein 1 homolog (S. cerevisiae)
HAQV4lSpQVcaBFHH8U	ZRANB2	0.953927590484106	-1.02	261.91	267.29	zinc finger, RAN-binding domain containing 2
TPuR.qiKqG_qSX_B6g	NA	0.953927590484106	1.02	117.86	115.2	NA
o3ortSnuqFE_dQlIzo	LIMK2	0.954207032771972	-1.02	84.45	86.28	LIM domain kinase 2
cezyiAPFdUkUlVd0BU	DSP	0.954207032771972	1.02	97.26	95.23	desmoplakin
HdISomrnqSR5fdSbUg	NA	0.954207032771972	1.03	81.92	79.83	NA
Wd4J191RHkXHX4p4Ho	ARHGEF40	0.954207947463324	-1.02	93.04	94.82	Rho guanine nucleotide exchange factor (GEF) 40
9gvpOAnkdStJOBjpd0	ANTXR1	0.954207947463324	1.02	125.33	122.72	anthrax toxin receptor 1
uRl_S4fdt6i6keLXdI	CYB561D1	0.954239598335816	-1.02	105.71	108.11	cytochrome b561 family, member D1
QKlXdwVTMnSt3jUiHk	NA	0.954239598335816	-1.02	75.07	76.67	NA
iujgilOiCuV6NUehV8	JMJD7	0.954239598335816	-1.02	83.61	85.49	jumonji domain containing 7
cf7oT5TVOQQQqJ0eLo	NA	0.954239598335816	-1.02	4344.65	4434.31	NA
6kj3emsXyF14PIB3qo	NA	0.954239598335816	-1.02	101.64	103.59	NA
