	SYMBOL	FDR	FC	avg.Control	avg.MDM2_KD_380	NAME
WdiMSf.ks66vr.rsE0	STIL	0.0769454871911911	-1.65	270.32	164.24	SCL/TAL1 interrupting locus
QfF6SqIxTjRgrr.VKk	RNU1-1	0.0769726985743145	1.46	215.01	314.62	RNA, U1 small nuclear 1
rvpF9v1nrUKOdXSB14	DNAJC12	0.0769726985743145	1.53	94.8	145.15	DnaJ (Hsp40) homolog, subfamily C, member 12
ikV1JBBI4CUuJccFuU	SIK3	0.0771862198703933	1.37	164.3	225.27	SIK family kinase 3
3X60iodK.qEkQngp6I	ZBTB9	0.0776474866480041	-1.57	166.61	106.06	zinc finger and BTB domain containing 9
9.v6uv7iX55QteX_rY	CASP2	0.0776474866480041	-1.69	866.85	514.33	caspase 2, apoptosis-related cysteine peptidase
ZegUHeVxdXkcFJ.ijo	RTKN	0.0776474866480041	1.4	150.63	211.42	rhotekin
xuQAtI.VS7.vt77F54	RFX7	0.0776474866480041	1.46	128.27	187.68	regulatory factor X, 7
uOiitVeeURASd_dE1Q	NA	0.0778086118564819	1.38	83.97	115.87	NA
oJEiuCghLmxqJS0uiQ	NA	0.0778465413924943	-1.47	110.44	75.28	NA
BbuYjs6eejhfXVIunQ	NA	0.0779280031670306	-1.35	373.19	275.88	NA
lR0uV96zTeUIUqXn0U	GGA2	0.0780147962963891	-1.44	155.09	107.79	golgi-associated, gamma adaptin ear containing, ARF binding protein 2
rpzl_RErvrjqnviOXs	ITGB5	0.0780232217053838	1.56	1183.29	1842.77	integrin, beta 5
NduRO4Lld4vwr_vDHo	WDR26	0.0780232217053838	1.5	171.17	256.04	WD repeat domain 26
EgJpdOCqCUKuWIUQJk	NA	0.0781014857074115	-1.37	108.19	78.78	NA
9ihOp0uun1S06zR6To	ITGB1BP1	0.0781014857074115	-1.51	102.84	68.33	integrin beta 1 binding protein 1
KAE6QwOnbqd6dXqFV0	DBN1	0.0781014857074115	1.48	233.75	346.3	drebrin 1
9V6Rerq.iehIJ8iECk	MTFP1	0.0781014857074115	-1.48	129.27	87.42	mitochondrial fission process 1
9pU_eGPL3AN89dd91U	SC5D	0.0781014857074115	1.41	158.94	224.87	sterol-C5-desaturase
NauQlbu3pd.Xbghju0	C7orf26	0.0782452207887562	-1.39	267.41	193.07	chromosome 7 open reading frame 26
iL3o6P66XhOMV5Se4o	PAK1	0.0782452207887562	-1.47	184.46	125.06	p21 protein (Cdc42/Rac)-activated kinase 1
fo8buwlEuVJWD6M38I	CARD6	0.0783407477518945	1.48	81.97	121.11	caspase recruitment domain family, member 6
EUuyelHzUqf.cfTRCg	RNASE4	0.0783407477518945	1.48	130.21	192.96	ribonuclease, RNase A family, 4
0Qq1IgoogviEprQkrk	NNMT	0.0783407477518945	-1.49	395.9	266.24	nicotinamide N-methyltransferase
uXf_OXCSsJI5cJ7P3U	NA	0.0784273710199807	-1.47	280.74	191.34	NA
uARXu1OoyLX9Z_S_5U	TPMT	0.0784273710199807	1.42	264.27	374.9	thiopurine S-methyltransferase
ryl6g9Y1yeSNk1RDmI	ALDH1A3	0.0784273710199807	1.62	812.51	1312.28	aldehyde dehydrogenase 1 family, member A3
rpSGCBPu1w6ykohQok	RPAP1	0.0788520019316924	-1.43	97.05	67.68	RNA polymerase II associated protein 1
9qOiEEgDoAlJaS4IuE	ASUN	0.0789434444473899	1.51	252.46	380.07	asunder spermatogenesis regulator
HpJXi5Tjd3ID1kLQTQ	GPN3	0.0793031324997084	-1.42	1709.47	1204.39	GPN-loop GTPase 3
u4Pif.lRI9_P7L7_ko	LEPR	0.0797444605003849	1.44	85.21	122.56	leptin receptor
W7dcOOH4leUdDqINJI	NA	0.0797444605003849	-1.43	1851.12	1291.77	NA
u2qF1AhwHhCX0KJUqs	TARDBP	0.0797507343376335	-1.43	172.11	120.09	TAR DNA binding protein
f57_qnV6Vg30fU9KAU	MPDU1	0.0799572501377525	-1.42	165.26	116.33	mannose-P-dolichol utilization defect 1
6wCOFm_ClF196eoqkg	ARRB1	0.0799589496760696	1.42	112.48	160.22	arrestin, beta 1
95M.odJTU8IFTvtd6E	VPS35	0.0799697994993758	-1.5	1095.98	729.31	VPS35 retromer complex component
0oi9dh17O6r5L50erk	NA	0.0799697994993758	1.49	139	207.4	NA
0tJ6OFIueAVElEJLUg	SPP1	0.0799697994993758	1.45	126.86	183.7	secreted phosphoprotein 1
