	FDR	FC	NF1300	NF1347	NF1311	NF1341	WD1297	WD1349	WD1306	WD1340
ABCA9	0.0805302648361509	-2.53757204842636	11973.0548627805	11536.0591639029	8285.69530057588	5588.23609589068	1722.32997155723	4334.20452969369	6537.39116563174	3008.19370994829
KRT8	0.0805302648361509	-2.99876006148723	405.800343481354	158.504368408453	559.228976888241	999.557861235689	183.273573896475	109.898633373999	156.047427518889	141.771388352839
RAB21	0.0809543482114871	3.5495167237544	8774.62212358403	6868.52263103296	5725.38393039653	5236.06886270089	23423.6876131784	10573.7303099051	101583.555156764	14310.3006251537
TIAM1	0.0809543482114871	2.18888351592178	938.656385560704	1062.25734617595	753.032755935105	752.985512722903	974.882926208358	3138.90253973828	1922.37150071142	2140.92015609752
MAP1A	0.0812417573069649	-2.19664609520608	2804.30077619862	3738.7565495643	2327.98033385209	3775.43176680228	2163.9530411873	1894.20790556983	482.529634030039	1940.60349806052
FBLN1	0.0814495959608372	-1.99771970368469	26672.6212985364	48398.0575432442	31124.1864193395	68622.3008672669	9954.18398946156	31497.6892146515	16057.3909636281	34359.1856258204
CYP2A6	0.0814495959608372	-4.9238982615425	267.076264399869	226.633439040156	203.143720205749	225.011089337901	47.4744799852315	7.40889663195502	61.9762832699133	149.233040371409
THBS2	0.0817840217123438	-1.9172589081232	5879.56727695827	8809.50594943823	6578.82105378964	7438.08156253593	4304.72087121901	6020.96332956879	2616.28452946562	2765.97700596085
GP1BA	0.0819241927798611	2.96890108203893	42.7840617727945	57.0059570591804	28.0198234766551	35.3825791587855	88.324613926012	324.756635700695	88.5375475284475	75.1904934179023
GPR97	0.0819295292100824	-11.8209934404165	12140.3016497105	323.960682799733	1434.84846053371	1048.76176037838	23.1852111555782	65.4452535822694	84.1106701520251	559.623901392784
APIP	0.0820608660862288	-1.85222167500677	3955.58098390291	3677.57942491542	1688.19436446847	3160.10660111902	2725.91839729155	1297.79172669745	986.086935598084	1878.61438898316
