	FDR	FC	NF	WD
PCTP	0.826771877204034	1.09998534770928	1557.33802469268	1732.29841856102
CSRP2BP	0.826771877204034	1.1037599954614	1025.60682965192	1158.62043933338
GZMB	0.826771877204034	-1.21319413703727	281.829862938537	242.297768995879
C18orf21	0.826771877204034	-1.08802703511608	1033.68919671747	943.572316391497
SRI	0.826771877204034	-1.06732722900282	5720.85189722633	5346.9324124477
LNPEP	0.82679713848462	-1.10187921864532	5457.92168272221	5248.19433374841
BTC	0.82679713848462	1.24154276375998	202.715183041607	179.697800536499
APPL1	0.826920098646139	1.08437572242387	3879.28446442481	4121.27789814738
ZNF117	0.827683290725312	1.13307378472533	2231.61945074464	2483.85089964751
GPR132	0.827683290725312	-1.17844202099637	826.286569748004	620.836873660204
C19orf52	0.827683290725312	1.09925343244984	689.990377126616	775.89254148173
THADA	0.827683290725312	1.07548035114336	2487.56748709139	2620.92304856949
RBBP5	0.827683290725312	1.07904424233507	1449.19763382814	1576.89702395784
EID2B	0.827683290725312	1.17304443457391	151.298852727347	190.798316408995
RFC3	0.827934409054177	1.108302111703	608.01226928137	679.150640251534
MERTK	0.828191300607678	-1.15214701615729	1618.43104917996	1396.06039603362
WHSC2	0.828226625747607	1.09450424883826	1709.98934845954	1840.40263209207
SAR1A	0.828286332780699	-1.09927695690764	17238.0281397829	15128.0731019856
ARAF	0.82841021586695	-1.0670236766126	5537.81616807654	5197.8129373937
RALGAPB	0.82858169397179	1.07668016034104	4370.54779799665	4734.44854319661
PRKCI	0.82858169397179	-1.10171981293033	2156.4544747244	2083.80121845286
HAUS8	0.829184082562165	-1.1157984025277	425.103435818576	401.615952255403
LRRC33	0.82926023733648	1.17917092144372	890.469326815604	1124.54016091096
PIAS4	0.82926023733648	1.08052231765643	1432.35149149149	1544.14748232016
FOPNL	0.82926023733648	-1.0685941171444	2855.23329627997	2650.10288246897
CARD16	0.829336723061033	-1.1388697632048	739.614550419898	639.335172299763
ERCC1	0.829726035387854	1.08101701330111	4283.51374821049	4659.36133607577
